"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Singh Y.; Shakyawar D.; Hu W.","Singh, Yashbir (57214304083); Shakyawar, Deepa (57215584642); Hu, Weichih (36062443400)","57214304083; 57215584642; 36062443400","Non-ischemic endocardial scar geometric remodeling toward topological machine learning","2020","Proceedings of the Institution of Mechanical Engineers, Part H: Journal of Engineering in Medicine","234","9","","1029","1035","6","10","10.1177/0954411920937221","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087745892&doi=10.1177%2f0954411920937221&partnerID=40&md5=3f933435f5897ba57c32d78ff250d66e","Article","Final","","Scopus","2-s2.0-85087745892"
"Bian C.; Xia N.; Xie A.; Cong S.; Dong Q.","Bian, Chenyuan (57210378105); Xia, Nan (53867459700); Xie, Anmu (36873744600); Cong, Shan (59282408700); Dong, Qian (57089661700)","57210378105; 53867459700; 36873744600; 59282408700; 57089661700","Adversarially Trained Persistent Homology Based Graph Convolutional Network for Disease Identification Using Brain Connectivity","2024","IEEE Transactions on Medical Imaging","43","1","","503","516","13","2","10.1109/TMI.2023.3309874","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169684687&doi=10.1109%2fTMI.2023.3309874&partnerID=40&md5=9e690fbdfefaa48894c1ac70dea3985a","Article","Final","","Scopus","2-s2.0-85169684687"
"Chung M.K.; Ramos C.G.; De Paiva F.B.; Mathis J.; Prabharakaren V.; Nair V.A.; Meyerand E.; Hermann B.P.; Binder J.R.; Struck A.F.","Chung, Moo K. (7402437080); Ramos, Camille Garcia (56805182700); De Paiva, Felipe Branco (58115784000); Mathis, Jedidiah (7101941269); Prabharakaren, Vivek (58115213000); Nair, Veena A. (52063482400); Meyerand, Elizabeth (57210279536); Hermann, Bruce P. (35508201800); Binder, Jeffrey R. (7102670019); Struck, Aaron F. (14039402800)","7402437080; 56805182700; 58115784000; 7101941269; 58115213000; 52063482400; 57210279536; 35508201800; 7102670019; 14039402800","Unified topological inference for brain networks in temporal lobe epilepsy using the Wasserstein distance","2023","NeuroImage","284","","120436","","","","2","10.1016/j.neuroimage.2023.120436","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176243738&doi=10.1016%2fj.neuroimage.2023.120436&partnerID=40&md5=8437cf18628625f23268012446397205","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85176243738"
"Hu C.-S.; Lawson A.; Chen J.-S.; Chung Y.-M.; Smyth C.; Yang S.-M.","Hu, Chuan-Shen (35748455700); Lawson, Austin (57207583478); Chen, Jung-Sheng (10044081900); Chung, Yu-Min (57201088144); Smyth, Clifford (57222238834); Yang, Shih-Min (57226130899)","35748455700; 57207583478; 10044081900; 57201088144; 57222238834; 57226130899","Toporesnet: A hybrid deep learning architecture and its application to skin lesion classification","2021","Mathematics","9","22","2924","","","","5","10.3390/math9222924","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119662574&doi=10.3390%2fmath9222924&partnerID=40&md5=69e132e7bdd902cf23cc707eeb42f342","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85119662574"
"Evensmoen H.R.; Rimol L.M.; Winkler A.M.; Betzel R.; Hansen T.I.; Nili H.; Håberg A.","Evensmoen, Hallvard Røe (36129368800); Rimol, Lars M. (6506487850); Winkler, Anderson M. (35390236500); Betzel, Richard (55367857600); Hansen, Tor Ivar (55687983900); Nili, Hamed (36087865000); Håberg, Asta (6602936704)","36129368800; 6506487850; 35390236500; 55367857600; 55687983900; 36087865000; 6602936704","Allocentric representation in the human amygdala and ventral visual stream","2021","Cell Reports","34","3","108658","","","","10","10.1016/j.celrep.2020.108658","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099592282&doi=10.1016%2fj.celrep.2020.108658&partnerID=40&md5=06ae8d57062520210fae18e86712517c","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85099592282"
"Kim J.; Lee J.; Nam K.; Lee S.","Kim, Jangho (57487963500); Lee, Junhyeong (57608497400); Nam, Kisung (57226850339); Lee, Seunggeun (57221404655)","57487963500; 57608497400; 57226850339; 57221404655","Investigation of genetic variants and causal biomarkers associated with brain aging","2023","Scientific Reports","13","1","1526","","","","2","10.1038/s41598-023-27903-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146955710&doi=10.1038%2fs41598-023-27903-x&partnerID=40&md5=13ae7b36a34758c29a4af766e825abba","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85146955710"
"DeSouza D.D.; Woldeamanuel Y.W.; Sanjanwala B.M.; Bissell D.A.; Bishop J.H.; Peretz A.; Cowan R.P.","DeSouza, Danielle D. (25724271200); Woldeamanuel, Yohannes W. (54384376900); Sanjanwala, Bharati M. (6508273936); Bissell, Daniel A. (57203949761); Bishop, James H. (35885406800); Peretz, Addie (57191914519); Cowan, Robert P. (10140406400)","25724271200; 54384376900; 6508273936; 57203949761; 35885406800; 57191914519; 10140406400","Altered structural brain network topology in chronic migraine","2020","Brain Structure and Function","225","1","","161","172","11","25","10.1007/s00429-019-01994-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075944156&doi=10.1007%2fs00429-019-01994-7&partnerID=40&md5=4c323696e083ee8ada116ae8fdd437f0","Article","Final","","Scopus","2-s2.0-85075944156"
"Das S.; Anand D.V.; Chung M.K.","Das, Soumya (57605928900); Anand, D. Vijay (44161008500); Chung, Moo K. (7402437080)","57605928900; 44161008500; 7402437080","Topological data analysis of human brain networks through order statistics","2023","PLoS ONE","18","3 March","e0276419","","","","4","10.1371/journal.pone.0276419","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150093922&doi=10.1371%2fjournal.pone.0276419&partnerID=40&md5=829431dc70b0a25c1fe6acf8b88bfef8","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85150093922"
"Abdullahi M.S.; Suratanee A.; Piro R.M.; Plaimas K.","Abdullahi, Muhammad Sirajo (57202533029); Suratanee, Apichat (9732373500); Piro, Rosario Michael (23996272600); Plaimas, Kitiporn (36342774400)","57202533029; 9732373500; 23996272600; 36342774400","Persistent Homology Identifies Pathways Associated with Hepatocellular Carcinoma from Peripheral Blood Samples","2024","Mathematics","12","5","725","","","","0","10.3390/math12050725","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187888025&doi=10.3390%2fmath12050725&partnerID=40&md5=965b4c4d1b574e30c27178c80aa78e47","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85187888025"
"Paul R.","Paul, Rahul (57193679977)","57193679977","Topological features in addition to radiomics signature predict 1p19q status and tumor grade in low-grade gliomas","2022","International Journal of Imaging Systems and Technology","32","3","","753","766","13","1","10.1002/ima.22660","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117148930&doi=10.1002%2fima.22660&partnerID=40&md5=51e217360892172c3366c3b68f7b9373","Article","Final","","Scopus","2-s2.0-85117148930"
"Trinkle S.; Foxley S.; Wildenberg G.; Kasthuri N.; La Rivière P.","Trinkle, Scott (57221346799); Foxley, Sean (8722570300); Wildenberg, Gregg (56713022200); Kasthuri, Narayanan (6602913316); La Rivière, Patrick (7004424419)","57221346799; 8722570300; 56713022200; 6602913316; 7004424419","The role of spatial embedding in mouse brain networks constructed from diffusion tractography and tracer injections","2021","NeuroImage","244","","118576","","","","4","10.1016/j.neuroimage.2021.118576","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114819934&doi=10.1016%2fj.neuroimage.2021.118576&partnerID=40&md5=2fd77d7a8d02505313910a9db7e5455b","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85114819934"
"Klaila G.; Vutov V.; Stefanou A.","Klaila, Gideon (58134773900); Vutov, Vladimir (57238028100); Stefanou, Anastasios (57202987444)","58134773900; 57238028100; 57202987444","Supervised topological data analysis for MALDI mass spectrometry imaging applications","2023","BMC Bioinformatics","24","1","279","","","","0","10.1186/s12859-023-05402-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164284676&doi=10.1186%2fs12859-023-05402-0&partnerID=40&md5=560ecdda27af11ee0b8eba3b9b4aed01","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85164284676"
"Pedoia V.; Lee J.; Norman B.; Link T.M.; Majumdar S.","Pedoia, V. (37124701100); Lee, J. (57822457600); Norman, B. (57203018770); Link, T.M. (26643125800); Majumdar, S. (55908343900)","37124701100; 57822457600; 57203018770; 26643125800; 55908343900","Diagnosing osteoarthritis from T2 maps using deep learning: an analysis of the entire Osteoarthritis Initiative baseline cohort","2019","Osteoarthritis and Cartilage","27","7","","1002","1010","8","74","10.1016/j.joca.2019.02.800","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064697812&doi=10.1016%2fj.joca.2019.02.800&partnerID=40&md5=653d193964719f20fea57540378613a7","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85064697812"
"Berit S.; Meling D.; Hirsch-Hoffmann M.; Michels L.; Kometer M.; Smigielski L.; Dornbierer D.; Seifritz E.; Vollenweider F.X.; Scheidegger M.","Berit, Singer (58998252100); Meling, Daniel (57221695041); Hirsch-Hoffmann, Matthias (58954186800); Michels, Lars (56225734600); Kometer, Michael (36621646400); Smigielski, Lukasz (56623078300); Dornbierer, Dario (56966649400); Seifritz, Erich (57203074345); Vollenweider, Franz X. (58778122400); Scheidegger, Milan (55366412600)","58998252100; 57221695041; 58954186800; 56225734600; 36621646400; 56623078300; 56966649400; 57203074345; 58778122400; 55366412600","Psilocybin enhances insightfulness in meditation: a perspective on the global topology of brain imaging during meditation","2024","Scientific Reports","14","1","7211","","","","2","10.1038/s41598-024-55726-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188621006&doi=10.1038%2fs41598-024-55726-x&partnerID=40&md5=b5fd97599cc014e692165cb5de4264ad","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85188621006"
"Crawford L.; Monod A.; Chen A.X.; Mukherjee S.; Rabadán R.","Crawford, Lorin (57192438243); Monod, Anthea (57202374721); Chen, Andrew X. (57193517666); Mukherjee, Sayan (35426501300); Rabadán, Raúl (15071174300)","57192438243; 57202374721; 57193517666; 35426501300; 15071174300","Predicting Clinical Outcomes in Glioblastoma: An Application of Topological and Functional Data Analysis","2020","Journal of the American Statistical Association","115","531","","1139","1150","11","60","10.1080/01621459.2019.1671198","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074320839&doi=10.1080%2f01621459.2019.1671198&partnerID=40&md5=e1d2cc05978e4161a593fa42b0da02c4","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85074320839"
"Rucco M.; Viticchi G.; Falsetti L.","Rucco, Matteo (56297983100); Viticchi, Giovanna (23111808000); Falsetti, Lorenzo (37087232000)","56297983100; 23111808000; 37087232000","Towards personalized diagnosis of glioblastoma in fluid-attenuated inversion recovery (FLAIR) by topological interpretable machine learning","2020","Mathematics","8","5","770","","","","21","10.3390/MATH8050770","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085645657&doi=10.3390%2fMATH8050770&partnerID=40&md5=b4102c54910cf26a38c6dbd17b702b1a","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85085645657"
"Khashei M.; Bakhtiarvand N.","Khashei, Mehdi (23492422800); Bakhtiarvand, Negar (57225190219)","23492422800; 57225190219","A novel discrete learning-based intelligent methodology for breast cancer classification purposes","2023","Artificial Intelligence in Medicine","139","","102492","","","","6","10.1016/j.artmed.2023.102492","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150436354&doi=10.1016%2fj.artmed.2023.102492&partnerID=40&md5=7c924c90e595bbac6e0484f5822caead","Article","Final","","Scopus","2-s2.0-85150436354"
"Sapini M.L.; Noorani M.S.M.; Razak F.A.; Alias M.A.; Yusof N.M.","Sapini, Muhamad Luqman (57190941515); Noorani, Mohd Salmi Md (6603683028); Razak, Fatimah Abdul (57647901000); Alias, Mohd Almie (57192893663); Yusof, Norliza Muhamad (58161612700)","57190941515; 6603683028; 57647901000; 57192893663; 58161612700","Understanding Published Literatures on Persistent Homology using Social Network Analysis","2022","Malaysian Journal of Fundamental and Applied Sciences","18","4","","413","429","16","1","10.11113/mjfas.v18n4.2418","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143426053&doi=10.11113%2fmjfas.v18n4.2418&partnerID=40&md5=d7b62676d93f0cdf407dfb9d0731017e","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85143426053"
